No,n,k,r,h,astar_time_ms,astar_path_length,bidirectional_time_ms,bidirectional_path_length,astar_success_rate,bidirectional_success_rate
1,4,4,2,0,0.08020000000000001,3.6,0.10129999999999999,3.9,100.0,100.0
2,4,4,2,1,0.079,3.9,0.09780000000000003,4.0,100.0,100.0
3,4,4,3,0,0.0838,4.2,0.12550000000000003,4.4,100.0,100.0
4,4,4,3,1,0.0846,4.3,0.08020000000000001,4.2,100.0,100.0
5,4,4,4,0,0.051500000000000004,3.7,0.0678,3.7,100.0,100.0
6,4,4,4,1,0.06319999999999999,3.6,0.042499999999999996,3.6,100.0,100.0
7,5,4,2,0,0.22679999999999995,4.5,0.34299999999999997,4.5,100.0,100.0
8,5,4,2,1,0.1176,4.0,0.3429,4.4,100.0,100.0
9,5,4,3,0,0.1347,4.1,0.36629999999999996,4.2,100.0,100.0
10,5,4,3,1,0.1365,4.4,0.22879999999999998,4.5,100.0,100.0
11,5,4,4,0,0.21099999999999997,4.5,0.31600000000000006,4.5,100.0,100.0
12,5,4,4,1,0.14320000000000002,4.4,0.2709999999999999,4.5,100.0,100.0
13,6,4,2,0,0.6238999999999999,5.9,2.2110000000000003,6.0,100.0,100.0
14,6,4,2,1,0.3708,5.0,1.1584,4.9,100.0,100.0
15,6,4,3,0,0.3676,5.0,0.9111,5.0,100.0,100.0
16,6,4,3,1,0.6813,5.6,1.6884000000000001,5.7,100.0,100.0
17,6,4,4,0,0.4399,5.2,1.0096,5.5,100.0,100.0
18,6,4,4,1,0.4882000000000001,5.5,1.5486,5.6,100.0,100.0
Avg,-,-,-,-,0.24354444444444445,4.522222222222222,0.6061222222222223,4.616666666666667,100.0,100.0
